Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 72.23      0.13     0.13                             main
 11.11      0.15     0.02  1895758     0.01     0.01  std::vector<int, std::allocator<int> >::operator[](unsigned long)
 11.11      0.17     0.02     1258    15.90    29.89  drawBoard(Board*)
  5.56      0.18     0.01     1270     7.87     9.75  updateBoard(Board*, int)
  0.00      0.18     0.00  1895759     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.18     0.00    60384     0.00     0.00  drawBorder(int, int, int, int, SDL_Texture*)
  0.00      0.18     0.00    46509     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::sqrt<int>(int)
  0.00      0.18     0.00    25300     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.18     0.00    22752     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.18     0.00    11322     0.00     0.00  drawWinBlock(int, int, int, int, SDL_Texture*)
  0.00      0.18     0.00    11313     0.00     0.00  drawBlock(int, int, int, int, SDL_Texture*, int**, int, int)
  0.00      0.18     0.00     2622     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.18     0.00     2584     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.18     0.00     2516     0.00     0.00  Scientist::draw()
  0.00      0.18     0.00     1279     0.00     0.00  std::pair<int, int>::pair<int&, int&, true>(int&, int&)
  0.00      0.18     0.00     1270     0.00     0.00  updateFade(Fade*)
  0.00      0.18     0.00     1270     0.00     9.75  updateManager(Manager*, int)
  0.00      0.18     0.00     1270     0.00     0.00  std::pair<int, int>::operator=(std::pair<int, int>&&)
  0.00      0.18     0.00     1258     0.00     0.00  drawPlayer(int, int, int, int, SDL_Texture*)
  0.00      0.18     0.00     1258     0.00    29.89  drawManager(Manager*)
  0.00      0.18     0.00     1258     0.00     0.00  dispText(int, int, int, int, char*, _TTF_Font*)
  0.00      0.18     0.00     1258     0.00     0.00  drawFade(Fade*)
  0.00      0.18     0.00      676     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.18     0.00      429     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.18     0.00      403     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.18     0.00      338     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.18     0.00      325     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.18     0.00      325     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00      0.18     0.00      300     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.18     0.00      260     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.18     0.00      249     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.18     0.00      247     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.18     0.00      234     0.00     0.00  std::__new_allocator<int>::_M_max_size() const
  0.00      0.18     0.00      169     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.18     0.00      169     0.00     0.00  void std::__new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.18     0.00      169     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.18     0.00      169     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.18     0.00      150     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.18     0.00      132     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.18     0.00      130     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.18     0.00      130     0.00     0.00  std::__new_allocator<int>::max_size() const
  0.00      0.18     0.00      130     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.18     0.00      130     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.18     0.00      130     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.18     0.00      130     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.18     0.00      130     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.18     0.00      130     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.18     0.00      110     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.18     0.00      106     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.18     0.00      106     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.18     0.00      104     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.18     0.00      104     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
